screen_name;user_id;full_name;party;created_at
JensMaierAfD;917000000000000000;Jens Maier;AfD;07.10.2017 12:20
DrFriesenMdB;916000000000000000;Dr. Anton Friesen;AfD;06.10.2017 15:29
Th_Seitz_AfD;913000000000000000;Thomas Seitz;AfD;28.09.2017 11:04
AndreasBleckMdB;911000000000000000;Andreas Bleck;AfD;21.09.2017 14:49
Brehm_inNBGNord;904000000000000000;Sebastian Brehm;CSU;03.09.2017 11:27
BrunnerGanzOhr;883000000000000000;Karl-Heinz Brunner;SPD;06.07.2017 11:50
Buettner_MdB;881000000000000000;Matthias Büttner;AfD;02.07.2017 11:51
DanyWagner_DA;875000000000000000;Daniela Wagner;Die_Gruenen;14.06.2017 09:14
Martin_Hess_AfD;873000000000000000;Martin Hess;AfD;08.06.2017 03:54
SybilleBenning;869000000000000000;Sybille Benning;CDU;29.05.2017 14:56
UliGroetsch;867000000000000000;Uli Grötsch;SPD;24.05.2017 12:08
mvabercron;863000000000000000;Michael von Abercron;CDU;11.05.2017 19:12
ChristophFDP;862000000000000000;Christoph Meyer;FDP;09.05.2017 17:11
JBrandenburgFDP;858000000000000000;Jens Brandenburg;FDP;28.04.2017 10:38
GustavHerzogMdB;857000000000000000;Gustav Herzog;SPD;25.04.2017 22:42
CarloCronenberg;857000000000000000;Carlo Cronenberg;FDP;25.04.2017 09:48
AchimKesslerMdB;850000000000000000;Achim Kessler;Die Linke;05.04.2017 10:20
UdoHemmelgarn;849000000000000000;Udo Hemmelgarn;AfD;04.04.2017 00:44
KlausMindrup;845000000000000000;Klaus Mindrup;SPD;24.03.2017 14:34
NinaScheer_SPD;845000000000000000;Nina Scheer;SPD;24.03.2017 10:01
h_weyel;841000000000000000;Prof. Harald Weyel;AfD;13.03.2017 22:16
KatharinaKloke;834000000000000000;Katharina Kloke;FDP;20.02.2017 14:34
Alice_Weidel;833000000000000000;Dr. Alice Weidel;AfD;19.02.2017 19:29
Oehmeulrich;830000000000000000;Ulrich Oehme;AfD;09.02.2017 16:38
WSchinnenburg;829000000000000000;Wieland Schinnenburg;FDP;07.02.2017 12:27
nicolabeerfdp;829000000000000000;Nicola Beer;FDP;06.02.2017 15:18
ManjaSchuele;827000000000000000;Manja Schüle;SPD;02.02.2017 09:46
katrin_staffler;825000000000000000;Katrin Staffler;CSU;27.01.2017 16:37
ProfMaier;824000000000000000;Lothar Maier;AfD;25.01.2017 11:02
StephPilsinger;820000000000000000;Stephan Pilsinger;CSU;13.01.2017 14:29
DirkWiese4;815000000000000000;Dirk Wiese Sauerland;SPD;01.01.2017 08:06
PetrBystronAfD;811000000000000000;Petr Bystron;AfD;19.12.2016 21:18
DirkSpaniel;811000000000000000;Dr. Dirk Spaniel;AfD;18.12.2016 17:28
DerDanyal;808000000000000000;Danyal Bayaz;Die_Gruenen;12.12.2016 19:58
MarcBernhardAfD;806000000000000000;Marc Bernhard;AfD;05.12.2016 17:19
BraFDP;803000000000000000;Mario Brandenburg;FDP;27.11.2016 20:13
mueller_sepp;802000000000000000;Sepp Müller;CDU;24.11.2016 15:02
dirk_heidenblut;798000000000000000;Dirk Heidenblut;SPD;15.11.2016 00:03
GruebelMdb;797000000000000000;Markus Grübel;CDU;10.11.2016 12:29
StefanKeuterAfD;795000000000000000;Stefan Keuter;AfD;04.11.2016 19:51
HellmichMdB;786000000000000000;Wolfgang Hellmich;SPD;13.10.2016 09:25
MuellerChemnitz;785000000000000000;Detlef Müller;SPD;08.10.2016 14:19
EnricoKomning;782000000000000000;Enrico Komning;AfD;30.09.2016 06:49
FGuentzler;780000000000000000;Fritz Güntzler;CDU;24.09.2016 08:41
Neumann_AfD;760000000000000000;Christoph Neumann;AfD;01.08.2016 19:00
LeniBreymaier;748000000000000000;Leni Breymaier;SPD;30.06.2016 09:50
c_jung77;740000000000000000;Christian Jung;FDP;07.06.2016 13:46
Leif_Erik_Holm;740000000000000000;Leif-Erik Holm;AfD;05.06.2016 18:55
josip_juratovic;739000000000000000;Josip Juratovic;SPD;03.06.2016 13:59
SabinePoschmann;739000000000000000;Sabine Poschmann;SPD;03.06.2016 07:40
MdB_Ulrike_Bahr;725000000000000000;Ulrike Bahr;SPD;25.04.2016 11:49
Schneider_AfD;720000000000000000;Jörg Schneider;AfD;12.04.2016 19:49
StBrandner;713000000000000000;Stephan Brandner;AfD;25.03.2016 13:46
LambrechtMdB;712000000000000000;Christine Lambrecht;SPD;22.03.2016 09:22
HPFriedrichCSU;708000000000000000;Hans-Peter Friedrich;CDU;11.03.2016 09:33
DrLaunert;4926993244;Dr. Silke Launert;CSU;18.02.2016 07:43
MdB_Lucassen;4875914470;Rüdiger Lucassen;AfD;04.02.2016 08:13
StefingerMdB;4866955749;Wolfgang Stefinger;CSU;31.01.2016 18:11
DorisAchelwilm;4819478705;Doris Achelwilm;Die Linke;16.01.2016 22:40
dr_tiemann;4818645382;Dietlind Tiemann;CDU;16.01.2016 17:13
HajdukBundestag;4724923756;Anja Hajduk;Die_Gruenen;06.01.2016 13:08
goekayakbulut;4594081419;Gökay Akbulut;Die Linke;24.12.2015 23:34
MichaelFrieser;4577700622;Michael Frieser;CSU;23.12.2015 10:47
ZdebelHubertus;4557858142;Hubertus Zdebel;Die Linke;21.12.2015 14:30
Witt_Uwe;4503658823;Uwe Witt;AfD;16.12.2015 14:17
ElsnervonGronow;4429947807;Elsner von Gronow;AfD;09.12.2015 20:04
Norbert_MdB;4265444913;Norbert Müller;Die Linke;24.11.2015 15:29
MichaelKuffer;4249342037;Michael Kuffer;CSU;22.11.2015 11:54
jankortemdb;4164673821;Jan Korte;Die Linke;11.11.2015 15:38
Frohnmaier_AfD;4130621842;Markus Frohnmaier;AfD;07.11.2015 00:49
Marc_Jongen;4121053541;Dr. Marc Jongen;AfD;05.11.2015 17:59
SchickGerhard;4110374301;Gerhard Schick;Die_Gruenen;04.11.2015 07:36
katarinabarley;4097559143;Katarina Barley;SPD;02.11.2015 13:41
stamm_fibich;4017796049;Martina Stamm-Fibich;SPD;22.10.2015 15:37
KorkmazGT;3930477322;Elvan Korkmaz;SPD;11.10.2015 19:28
YvonneMagwas;3852561082;Yvonne Magwas;CDU;03.10.2015 13:03
UdoSchiefner;3823042877;Udo Schiefner;SPD;30.09.2015 09:52
thlutze;3667108397;Thomas Lutze;Die Linke;15.09.2015 19:41
DerLenzMdB;3635730797;Andreas Lenz;CSU;12.09.2015 22:33
Toens_NRW04;3522875063;Markus Töns;SPD;02.09.2015 11:46
matthiasbartke;3376953843;Dr. Matthias Bartke;SPD;15.07.2015 07:44
AWidmannMauz;3351905747;Annette Widmann-Mauz;CDU;30.06.2015 15:21
victorperli;3350681139;Victor Perli;Die Linke;29.06.2015 13:33
stadler_svenja;3337459024;Svenja Stadler;SPD;20.06.2015 18:29
Karl_Lauterbach;3292982985;Karl Lauterbach;SPD;21.05.2015 14:01
AndreasSteier;3236928208;Andreas Steier;CDU;05.05.2015 20:47
KartesMdB;3188225915;Torbjörn Kartes;CDU;20.04.2015 20:23
Spenrath_AfD;3105403449;Roman Reusch;AfD;22.03.2015 18:33
MAStrackZi;3047392319;Maria-Agnes Strack-Zimmermann;FDP;20.02.2015 17:27
michael_g_link;3034092143;Michael Georg Link;FDP;13.02.2015 06:54
GabyKatzmarek;3017602065;Gabriele Katzmarek;SPD;04.02.2015 14:00
Peter_Stein_CDU;2885729417;Peter Stein;CDU;20.11.2014 15:32
MarcusHeld_SPD;2860802891;Marcus Held;SPD;04.11.2014 14:48
DeRidder_MdB;2842430247;Daniela De Ridder;SPD;24.10.2014 07:47
UllaJelpke;2837971145;Ulla Jelpke;Die Linke;20.10.2014 09:49
AlexanderRadwan;2831760211;Alexander Radwan;CSU;25.09.2014 12:30
michaelgrossmdb;2814949590;Michael Groß;SPD;17.09.2014 13:58
fritzfelgentreu;2805274855;Fritz Felgentreu;SPD;12.09.2014 09:17
Thomas_Bareiss;2797812265;Thomas Bareiß;CDU;08.09.2014 11:55
cdu_schweiger;2758602415;Torsten Schweiger;CDU;23.08.2014 11:53
ruppert_stefan;2710786593;Stefan Ruppert;FDP;14.07.2014 16:38
KoobMar;2664174617;Markus Koob;CDU;02.07.2014 14:40
mrosek1958;2618890032;Andreas Mrosek;AfD;11.07.2014 22:07
Lothar_Binding;2617281050;Lothar Binding;SPD;11.07.2014 12:32
Conni_Moehring;2596171296;Cornelia Möhring;Die Linke;30.06.2014 11:04
uwe_kamann;2546790747;Uwe Kamann;AfD;14.05.2014 06:40
M_Reichardt_AfD;2545743991;Martin Reichardt;AfD;04.06.2014 10:26
Renner_AfD;2535401947;Martin E Renner;AfD;30.05.2014 16:12
ZaklinNastic;2527808433;Zaklin Nastic;Die Linke;04.05.2014 10:37
Huber_AfD;2527085323;Johannes Huber;AfD;27.05.2014 09:51
AnjaKarliczek;2521976694;Anja Karliczek;CDU;25.05.2014 05:42
TobiasMPeterka;2496104640;Tobias Matthias Peterka;AfD;15.05.2014 10:45
Kai_Whittaker;2479436480;Kai Whittaker;CDU;06.05.2014 07:39
GerdesMdB;2468956470;Michael Gerdes;SPD;29.04.2014 08:21
BetMueller;2443895924;Bettina Müller;SPD;14.04.2014 13:31
MdbWendt;2430137675;Marian Wendt;CDU;23.03.2014 03:19
RonjaKemmer;2405039875;Ronja Kemmer;CDU;22.03.2014 20:52
muellerboehm;2373251115;Roman Müller-Böhm;FDP;01.03.2014 14:20
OWvonHoltz;2357675876;Ottmar von Holtz;Die_Gruenen;23.02.2014 08:22
DietmarBartsch;2320519958;Dietmar Bartsch;Die Linke;31.01.2014 09:25
UliFreese;2317202160;Uli Freese;SPD;29.01.2014 14:02
MarkusTressel;2306519694;Markus Tressel;Die_Gruenen;23.01.2014 12:51
ZieglerMdB;2290961736;Dagmar Ziegler;SPD;14.01.2014 10:21
Schwarz_MdB;2226815116;Andreas Schwarz;SPD;15.12.2013 09:11
TErndl;2192588903;Thomas Erndl;CSU;23.11.2013 11:15
ABaerbock;2179010672;Annalena Baerbock;Die_Gruenen;07.11.2013 00:04
thomas_jurk;1959248485;Thomas Jurk;SPD;13.10.2013 18:32
Dr_Roy_Kuehne;1906911697;Roy Kühne;CDU;26.09.2013 06:13
dittmarsabine;1872648764;Sabine Dittmar;SPD;16.09.2013 18:45
HoldingEuropa;1865308944;Waldemar Herdt;AfD;14.09.2013 23:11
axelgehrke;1862781722;Axel Gehrke;AfD;14.09.2013 05:37
Hansjoerg_Durz;1662533040;Hansjörg Durz;CSU;11.08.2013 13:29
annachristmann;1617177360;Anna Christmann;Die_Gruenen;24.07.2013 08:14
mb_hb;1543429536;Michel Brandt;Die Linke;24.06.2013 14:54
ttte94;1534201208;Gerold Otten;AfD;20.06.2013 15:24
GydeJ;1530171613;Gyde Jensen;FDP;19.06.2013 08:11
crueffer;1524735194;Corinna Rüffer;Die_Gruenen;17.06.2013 12:32
HHirte;1513671236;Heribert Hirte;CDU;13.06.2013 15:15
Frank_Pasemann;1490376331;Frank Pasemann;AfD;07.06.2013 13:04
julia_verlinden;1475734592;Julia Verlinden;Die_Gruenen;01.06.2013 21:31
SusannRuethrich;1461997548;Susann Rüthrich;SPD;27.05.2013 12:42
AnetteKramme;1461705757;Anette Kramme;SPD;27.05.2013 09:29
AndreaLindholz;1446031532;Andrea Lindholz;CSU;21.05.2013 10:40
RenateKuenast;1425265488;Renate Künast;Die_Gruenen;13.05.2013 11:24
lier_e;1425035358;Elisabeth Kaiser;SPD;13.05.2013 09:15
EskenSaskia;1423622834;Saskia Esken;SPD;12.05.2013 17:25
NordMdb;1421571306;Thomas Nord;Die Linke;11.05.2013 21:07
ProtschkaStepha;1412287272;Stephan Protschka;AfD;08.05.2013 08:33
oezdemir_spd;1399764944;Mahmut Ö–zdemir;SPD;03.05.2013 13:36
joerg_cezanne;1391879604;Joerg Cezanne;Die Linke;30.04.2013 12:00
uhl_markus;1391875208;Markus Uhl;CDU;30.04.2013 11:47
MarkHauptmann;1370491088;Mark Hauptmann;CDU;21.04.2013 20:17
jojoschraps;1356753444;Johannes Schraps;SPD;16.04.2013 12:32
Stettenchris;1334019378;Christian von Stetten;CDU;07.04.2013 12:50
th_sattelberger;1296544153;Thomas Sattelberger;FDP;24.03.2013 20:28
KirstenTackmann;1294725486;Kirsten Tackmann;Die Linke;24.03.2013 10:47
Florian_Ossner;1294532364;Florian Ossner;CSU;24.03.2013 09:49
KayGottschalk1;1286011081;Kay Gottschalk;AfD;21.03.2013 13:39
AlexanderSNeu;1182878557;Alexander Neu;Die Linke;15.02.2013 14:53
MatthiasHauer;1158585210;Matthias Hauer;CDU;07.02.2013 23:53
ChrisKuehn_mdb;1143130812;Chris Kühn;Die_Gruenen;02.02.2013 18:49
BriHasselmann;1131092102;Britta Hasselmann;Die_Gruenen;29.01.2013 13:46
Achim_P;1117749912;Achim Post;SPD;24.01.2013 21:12
s_schwartze;1117526742;Stefan Schwartze;SPD;24.01.2013 19:17
MiRo_SPD;1114675538;Michael Roth;SPD;23.01.2013 15:48
EUTheurer;1108382916;Michael Theurer;FDP;21.01.2013 08:00
KarstenMoering;1099159964;Karsten Möring;CDU;17.01.2013 20:08
SylviaPantel;1082464339;Sylvia Pantel;CDU;12.01.2013 09:54
sebast_hartmann;1076269195;Sebastian Hartmann;SPD;10.01.2013 10:32
berlinliebich;1065899292;Stefan Liebich;Die Linke;06.01.2013 14:57
MetinHakverdi;1043288618;Metin Hakverdi;SPD;28.12.2012 22:27
arnoklare;1028440310;Arno Klare;SPD;22.12.2012 12:46
JanMetzler;995653004;Jan Metzler;CDU;07.12.2012 18:54
GabiWeberSPD;992808439;Gabi Weber;SPD;06.12.2012 10:29
A_Gloeckner;976421048;Angelika Glöckner;SPD;28.11.2012 16:01
MechthildHeil;974367631;Mechthild Heil;CDU;27.11.2012 17:56
StefanRouenhoff;963904327;Stefan Rouenhoff;CDU;22.11.2012 08:50
susanne_mittag;939034891;Susanne Mittag;SPD;10.11.2012 13:12
GruenClaudia;937403112;Claudia Müller;Die_Gruenen;09.11.2012 17:39
WilfriedOellers;906847944;Wilfried Oellers;CDU;26.10.2012 21:58
GregorGysi;888289790;Gregor Gysi;Die Linke;18.10.2012 07:20
MarcusWeinberg;884382990;Marcus Weinberg;CDU;16.10.2012 12:55
ulschzi;866924100;Ulrike Schielke-Ziesing;AfD;07.10.2012 20:39
NicoleGohlke;866425075;Nicole Gohlke;Die Linke;07.10.2012 14:33
FOstendorff;862714045;Friedrich Ostendorff;Die_Gruenen;05.10.2012 08:17
SylviaGabelmann;850993608;Sylvia Gabelmann;Die Linke;28.09.2012 12:42
b_riexinger;849012308;Bernd Riexinger;Die Linke;27.09.2012 10:16
GtzFrmming;809895794;Götz Frömming;AfD;08.09.2012 00:53
Beatrix_vStorch;805308596;Beatrix von Storch;AfD;05.09.2012 20:19
uihnen;757224186;Ulla Ihnen;FDP;14.08.2012 14:09
MWBirkwald;748851762;Matthias W. Birkwald;Die Linke;10.08.2012 07:32
FlorianPost;741532130;Florian Post;SPD;06.08.2012 22:00
JanaSchimke;728990858;Jana Schimke;CDU;31.07.2012 18:48
MatthiasGastel;727782559;Matthias Gastel;Die_Gruenen;31.07.2012 07:04
SteffenSonja;702653022;Sonja Steffen;SPD;18.07.2012 08:29
GoeringEckardt;626287930;Katrin Göring-Eckardt;Die_Gruenen;04.07.2012 08:28
HaraldWeinberg;625642009;Harald Weinberg ;Die Linke;03.07.2012 15:24
UllmannMdB;609972369;Andrew Ullmann;FDP;16.06.2012 10:47
JuttaKrellmann;600984834;Jutta Krellmann;Die Linke;06.06.2012 11:44
LieblingXhain;587862375;Canan Bayram;Die_Gruenen;22.05.2012 21:58
MGrosseBroemer;574424501;Michael Grosse-Brömer;CDU;08.05.2012 12:11
sigmargabriel;569832889;Sigmar Gabriel;SPD;03.05.2012 09:27
MaikBeermann;569257486;Maik Beermann;CDU;02.05.2012 17:01
lisapaus;569166756;Lisa Paus;Die_Gruenen;02.05.2012 12:57
MTodtenhausen;563706584;Manfred Todtenhausen;FDP;26.04.2012 13:03
PetraPauMaHe;560467206;Petra Pau;Die Linke;22.04.2012 15:55
danielakolbe;516783036;Daniela Kolbe;SPD;06.03.2012 18:55
Timon_Gremmels;494809842;Timon Gremmels;SPD;17.02.2012 08:46
JTrittin;485751594;Jürgen Trittin;Die_Gruenen;07.02.2012 14:54
FrankeEdgar;481393623;Dr. Edgar Franke;SPD;02.02.2012 18:01
MargareteBause;480623844;Margarete Bause;Die_Gruenen;01.02.2012 18:14
KonstantinKuhle;475275997;Konstantin Kuhle;FDP;26.01.2012 21:49
BabettesChefin;474013625;Sylvia Kotting-Uhl;Die_Gruenen;25.01.2012 15:25
ULechte;473843184;Ulrich Lechte;FDP;25.01.2012 11:40
KLeikert;467381196;Katja Leikert;CDU;18.01.2012 12:08
helgelindh;454981027;Helge Lindh;SPD;04.01.2012 16:12
JensZimmermann1;449619355;Jens Zimmermann;SPD;29.12.2011 09:14
Peter_Beyer;445375409;Peter Beyer;CDU;24.12.2011 09:58
ToniHofreiter;442678902;Anton Hofreiter;Die_Gruenen;21.12.2011 10:39
StefanGelbhaar;426582569;Stefan Gelbhaar;Die_Gruenen;02.12.2011 12:28
ch_buchholz;426403057;Christine Buchholz;Die Linke;02.12.2011 06:04
DFoest;422569574;Daniel Föst;FDP;27.11.2011 12:17
michael_thews;409258073;Michael Thews;SPD;10.11.2011 13:55
UweSchummer;409203792;Uwe Schummer;CDU;10.11.2011 12:18
hahnflo;403735368;Florian Hahn;CSU;02.11.2011 22:47
armin_schuster;395912134;Armin Schuster;CDU;22.10.2011 13:11
guenterkrings;392312829;Günter Krings;CDU;16.10.2011 21:00
JoWadephul;389682667;Johann Wadephul;CDU;12.10.2011 20:46
UlliNissen;382044198;Ulli Nissen;SPD;29.09.2011 11:53
peteraltmaier;378693834;Peter Altmaier;CDU;23.09.2011 17:00
PSchnieder;368334555;Patrick Schnieder;CDU;05.09.2011 13:31
PeterAumer;348460907;Peter Aumer;CSU;04.08.2011 13:33
HeikeHaensel;332264734;Heike Hänsel;Die Linke;09.07.2011 14:08
LangeMdB;328939758;Christian Lange;SPD;04.07.2011 09:05
KarambaDiaby;316355056;Dr. Karamba Diaby;SPD;13.06.2011 09:57
pascalmeiser;314534724;Pascal Meiser;Die Linke;10.06.2011 12:19
jensspahn;299650387;Jens Spahn;CDU;16.05.2011 13:25
GaHeinrich;296121556;Gabriela Heinrich;SPD;10.05.2011 07:17
Petra_Sitte_MdB;293522998;Petra Sitte;Die Linke;05.05.2011 14:05
ThomasOppermann;293066780;Thomas Oppermann;SPD;04.05.2011 18:06
ThomasHitschler;292151515;Thomas Hitschler;SPD;03.05.2011 05:41
PaulZiemiak;288696645;Paul Ziemiak;CDU;27.04.2011 09:22
R_Hartwig_AfD;282687385;Dr. Roland Hartwig;AfD;15.04.2011 18:11
badulrichmartha;282195399;Lisa Badum;Die_Gruenen;14.04.2011 18:52
SteinekeCDU;277006619;Sebastian Steineke;CDU;04.04.2011 14:24
SabineLeidig;257461232;Sabine Leidig;Die Linke;25.02.2011 13:33
yasmin_fahimi;238088709;Yasmin Fahimi;SPD;14.01.2011 10:03
KaczmarekOliver;231440493;Oliver Kaczmarek;SPD;28.12.2010 14:43
Katrin_Werner;224630872;Katrin Werner;Die Linke;09.12.2010 13:36
filizgreen;194535434;Filiz Polat;Die_Gruenen;24.09.2010 11:19
BaerbelKofler;193629792;Bärbel Kofler;SPD;22.09.2010 09:22
jensbeeck;179216369;Jens Beeck;FDP;16.08.2010 20:00
